Date,GC=F,PL=F,SI=F
2020-08-10,2024.4000244140625,997.5,29.249000549316406
2020-08-11,1932.5999755859375,966.5999755859375,26.03700065612793
2020-08-12,1934.9000244140625,954.4000244140625,25.954999923706055
2020-08-13,1956.699951171875,978.0999755859375,27.694000244140625
2020-08-14,1937.0,954.4000244140625,26.065000534057617
2020-08-17,1985.0,963.2999877929688,27.64299964904785
2020-08-18,1999.4000244140625,971.0999755859375,28.048999786376953
2020-08-19,1958.699951171875,952.0,27.315000534057617
2020-08-20,1933.800048828125,923.0999755859375,27.121999740600586
2020-08-21,1934.5999755859375,922.2999877929688,26.707000732421875
2020-08-24,1927.699951171875,920.7999877929688,26.58799934387207
2020-08-25,1911.800048828125,930.5999755859375,26.253999710083008
2020-08-26,1940.699951171875,936.4000244140625,27.43000030517578
2020-08-27,1921.5999755859375,925.5999755859375,27.010000228881836
2020-08-28,1964.5999755859375,937.5,27.610000610351562
2020-08-31,1967.5999755859375,935.7000122070312,28.437000274658203
2020-09-01,1968.199951171875,950.5,28.486000061035156
2020-09-02,1934.4000244140625,902.0,27.249000549316406
2020-09-03,1927.5999755859375,887.5999755859375,26.735000610351562
2020-09-04,1923.9000244140625,896.2999877929688,26.576000213623047
2020-09-07,1923.9000244140625,896.2999877929688,26.576000213623047
2020-09-08,1933.0,908.4000244140625,26.86400032043457
2020-09-09,1944.699951171875,923.0999755859375,26.954999923706055
2020-09-10,1954.199951171875,939.4000244140625,27.163000106811523
2020-09-11,1937.800048828125,938.0,26.73900032043457
2020-09-14,1953.0999755859375,957.0999755859375,27.229000091552734
2020-09-15,1956.300048828125,980.7999877929688,27.34600067138672
2020-09-16,1960.199951171875,972.2999877929688,27.354999542236328
2020-09-17,1940.0,930.0,26.985000610351562
2020-09-18,1952.0999755859375,937.5,27.027999877929688
2020-09-21,1901.199951171875,875.0999755859375,24.298999786376953
2020-09-22,1898.5999755859375,856.5,24.441999435424805
2020-09-23,1859.9000244140625,842.2999877929688,23.013999938964844
2020-09-24,1868.300048828125,837.0999755859375,23.118000030517578
2020-09-25,1857.699951171875,841.0999755859375,23.017000198364258
2020-09-28,1872.800048828125,881.9000244140625,23.527999877929688
2020-09-29,1894.300048828125,887.5,24.3799991607666
2020-09-30,1887.5,901.0,23.433000564575195
2020-10-01,1908.4000244140625,898.2000122070312,24.19300079345703
2020-10-02,1900.199951171875,883.4000244140625,23.97100067138672
2020-10-05,1912.5,897.2000122070312,24.50200080871582
2020-10-06,1901.0999755859375,863.9000244140625,23.8700008392334
2020-10-07,1883.5999755859375,861.2000122070312,23.847999572753906
2020-10-08,1888.5999755859375,858.2000122070312,23.836999893188477
2020-10-09,1919.5,887.9000244140625,25.069000244140625
2020-10-12,1922.5,870.0,25.22599983215332
2020-10-13,1888.5,867.2000122070312,24.086000442504883
2020-10-14,1901.300048828125,858.0999755859375,24.36400032043457
2020-10-15,1903.199951171875,856.2999877929688,24.19300079345703
2020-10-16,1900.800048828125,864.2999877929688,24.368999481201172
2020-10-19,1906.4000244140625,858.5999755859375,24.656999588012695
2020-10-20,1910.4000244140625,872.4000244140625,24.937000274658203
2020-10-21,1924.5999755859375,889.0999755859375,25.19700050354004
2020-10-22,1901.0999755859375,879.0,24.665000915527344
2020-10-23,1902.0,901.7000122070312,24.62700080871582
2020-10-26,1902.699951171875,872.5,24.375999450683594
2020-10-27,1908.800048828125,882.0999755859375,24.525999069213867
